REGIONAL,MEDIO DE  RECEPCION,TIPO DE AFECTACION,RECURSO AFECTADO,MUNICIPIO,Periodo
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Aguas,Pagina Web,CONFLICTOS POR USO DEL AGUA,AGUA,SAN RAFAEL,2021
Bosques,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Bosques,Telefónico,CONTAMINACION DEL AGUA,AGUA,PUERTO TRIUNFO,2021
Paramo,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,SONSÓN,2021
Porce,Pagina Web,MOVIMIENTO DE TIERRAS,SUELO,ALEJANDRÍA,2021
Porce,Pagina Web,CONTAMINACION DEL AGUA,AGUA,SANTO DOMINGO,2021
Porce,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,ALEJANDRÍA,2021
Porce,Pagina Web,MOVIMIENTO DE TIERRAS,AGUA,ALEJANDRÍA,2021
Porce,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN ROQUE,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,LA CEJA,2021
Bosques,Telefónico,OLORES,AIRE,SAN LUIS,2021
Bosques,Telefónico,MINERIA,AGUA,SAN LUIS,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,LA UNIÓN,2021
Porce,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,CONCEPCIÓN,2021
Bosques,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Valles,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,GUARNE,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,LA CEJA,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,AGUA,RIONEGRO,2021
Valles,Correo electrónico,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN VICENTE,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Aguas,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,EL PEÑOL,2021
Valles,Telefónico,OLORES,AIRE,GUARNE,2021
Porce,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,ALEJANDRÍA,2021
Valles,Pagina Web,INTERVENCIÓN  DE CAUCE,AGUA,EL CARMEN,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,RIONEGRO,2021
Valles,Pagina Web,INTERVENCIÓN  DE CAUCE,AGUA,GUARNE,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Porce,Pagina Web,MINERIA,SUELO,ALEJANDRÍA,2021
Valles,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,LA UNIÓN,2021
Aguas,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,EL PEÑOL,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,AGUA,EL RETIRO,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,SUELO,GUARNE,2021
Aguas,Correo electrónico,MOVIMIENTO DE TIERRAS,SUELO,EL PEÑOL,2021
Valles,Correo electrónico,RETIRO A FUENTES HÍDRICAS,AGUA,LA CEJA,2021
Bosques,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,SAN LUIS,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Aguas,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,SAN RAFAEL,2021
Valles,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,GUARNE,2021
Paramo,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,ABEJORRAL,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Aguas,Telefónico,MINERIA,AGUA,SAN RAFAEL,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,RIONEGRO,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,EL RETIRO,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,GUARNE,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Porce,Pagina Web,MOVIMIENTO DE TIERRAS,AGUA,ALEJANDRÍA,2021
Bosques,Telefónico,MINERIA,SUELO,PUERTO TRIUNFO,2021
Bosques,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,EL PEÑOL,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,LA CEJA,2021
Valles,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,GUARNE,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,AGUA,EL RETIRO,2021
Bosques,Correo electrónico,MOVIMIENTO DE TIERRAS,SUELO,COCORNÁ,2021
Valles,Telefónico,USO ILEGAL DEL AGUA,AGUA,EL RETIRO,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,AGUA,RIONEGRO,2021
Aguas,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN RAFAEL,2021
Paramo,Telefónico,CONTAMINACION DEL AGUA,AGUA,SONSÓN,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,RIONEGRO,2021
